                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8945,                 2.6483,                  1.032,                      1,                0.15852,                0.58098,                0.46781,                0.67732,                 3.1095,                0.84273,                0.00056,                0.00056,                0.00056
                      2,                0.80449,                 1.4243,                0.95191,                      1,                0.44871,                0.85764,                0.68851,                0.77423,                 2.8881,                0.91215,              0.0011174,              0.0011174,              0.0011174
                      3,                0.78607,                  1.187,                0.95619,                0.82646,                0.75198,                 0.8018,                0.61126,                0.85932,                 2.3699,                0.97053,              0.0016519,              0.0016519,              0.0016519
                      4,                0.79096,                 1.0693,                0.97541,                0.93076,                0.94336,                0.97107,                 0.7725,                0.74452,                 1.2779,                0.96498,              0.0018812,              0.0018812,              0.0018812
                      5,                 0.7231,                0.93566,                0.94308,                0.79719,                0.91228,                0.82264,                0.63477,                 0.7571,                 1.2006,                 0.9355,              0.0018812,              0.0018812,              0.0018812
                      6,                0.71549,                 0.8853,                0.97123,                0.97902,                0.96491,                0.98904,                0.80268,                0.69958,                0.83307,                0.94894,              0.0018416,              0.0018416,              0.0018416
                      7,                0.69319,                0.75427,                0.96023,                0.99257,                0.91228,                0.98882,                0.81324,                 0.6576,                0.77395,                0.92244,               0.001802,               0.001802,               0.001802
                      8,                0.69716,                0.69473,                0.95919,                0.99226,                0.94737,                0.98091,                 0.8344,                0.59998,                0.67203,                0.90849,              0.0017624,              0.0017624,              0.0017624
                      9,                0.68124,                0.65508,                 0.9479,                0.95735,                0.94737,                0.97568,                0.83647,                0.59786,                0.64436,                0.90022,              0.0017228,              0.0017228,              0.0017228
                     10,                0.62209,                0.60425,                0.92546,                0.98168,                0.94025,                 0.9898,                0.83651,                0.61499,                0.60336,                 0.8855,              0.0016832,              0.0016832,              0.0016832
                     11,                0.63409,                0.57956,                0.94629,                0.98652,                0.92982,                0.98407,                0.84306,                0.61004,                0.55198,                0.87882,              0.0016436,              0.0016436,              0.0016436
                     12,                0.63065,                0.55007,                0.93009,                0.96053,                      1,                0.99363,                0.85688,                0.56227,                0.49428,                0.88441,               0.001604,               0.001604,               0.001604
                     13,                0.63507,                0.53403,                0.92579,                0.96543,                0.97998,                0.98997,                0.85422,                0.57442,                0.47743,                0.90343,              0.0015644,              0.0015644,              0.0015644
                     14,                0.58242,                0.49498,                0.92118,                0.98268,                0.99521,                0.99448,                0.86223,                0.60307,                0.48254,                0.88272,              0.0015248,              0.0015248,              0.0015248
                     15,                0.56883,                 0.4684,                0.91167,                0.96227,                      1,                0.99331,                0.88396,                0.53221,                0.52364,                0.87857,              0.0014852,              0.0014852,              0.0014852
                     16,                0.57343,                0.47594,                 0.9245,                0.97219,                      1,                0.99379,                0.86222,                0.57826,                0.43748,                 0.8859,              0.0014456,              0.0014456,              0.0014456
                     17,                0.54214,                0.43916,                0.89868,                0.95643,                0.98246,                0.99055,                0.87832,                0.48901,                0.40032,                 0.8631,               0.001406,               0.001406,               0.001406
                     18,                0.52821,                0.42611,                0.90151,                0.98272,                0.99804,                0.99483,                0.88862,                0.49913,                0.36982,                0.84764,              0.0013664,              0.0013664,              0.0013664
                     19,                0.51982,                0.40464,                0.89838,                 0.9499,                0.99783,                0.99179,                0.88916,                0.47887,                 0.3737,                0.83582,              0.0013268,              0.0013268,              0.0013268
                     20,                0.52248,                  0.403,                0.88647,                0.98189,                      1,                0.99414,                0.88947,                0.48125,                0.36658,                0.84476,              0.0012872,              0.0012872,              0.0012872
                     21,                0.52337,                0.40156,                0.88862,                0.97936,                      1,                0.99483,                0.91204,                0.46558,                0.38274,                0.83801,              0.0012476,              0.0012476,              0.0012476
                     22,                0.51665,                0.39994,                0.89676,                0.99718,                      1,                  0.995,                0.90245,                0.47396,                0.31802,                0.83013,               0.001208,               0.001208,               0.001208
                     23,                0.49008,                0.39218,                0.87716,                 0.9647,                      1,                0.99396,                0.90041,                0.50216,                0.35873,                0.84789,              0.0011684,              0.0011684,              0.0011684
                     24,                0.47618,                0.37998,                0.87774,                 0.9488,                      1,                0.99314,                 0.8796,                0.51087,                0.37062,                0.85276,              0.0011288,              0.0011288,              0.0011288
                     25,                0.45414,                0.36467,                 0.8721,                0.98273,                0.99815,                0.99483,                0.91312,                0.45887,                0.31068,                0.83604,              0.0010892,              0.0010892,              0.0010892
                     26,                0.47027,                0.36071,                0.88885,                0.99689,                      1,                  0.995,                0.89789,                 0.4991,                0.33997,                  0.842,              0.0010496,              0.0010496,              0.0010496
                     27,                0.49178,                0.36981,                0.89046,                0.96608,                0.99927,                0.99294,                 0.8975,                0.47278,                0.33302,                 0.8382,                0.00101,                0.00101,                0.00101
                     28,                0.47364,                0.35909,                0.87077,                0.96461,                      1,                0.98865,                0.90192,                 0.4584,                0.31547,                0.83419,              0.0009704,              0.0009704,              0.0009704
                     29,                0.44413,                0.34164,                0.87395,                0.97752,                      1,                0.99293,                 0.9206,                 0.4265,                0.30402,                  0.818,              0.0009308,              0.0009308,              0.0009308
                     30,                0.44009,                0.34276,                0.87396,                0.97157,                      1,                0.99362,                0.88489,                0.47196,                0.31656,                0.82538,              0.0008912,              0.0008912,              0.0008912
                     31,                0.44014,                0.34297,                0.87622,                0.98275,                0.99929,                0.99483,                0.89407,                0.49377,                0.31851,                0.83937,              0.0008516,              0.0008516,              0.0008516
                     32,                0.44127,                0.34349,                0.87238,                 0.9813,                      1,                0.99483,                0.90057,                0.46752,                0.29832,                0.82346,               0.000812,               0.000812,               0.000812
                     33,                0.40335,                0.31585,                0.85996,                0.96902,                      1,                0.99448,                0.90373,                0.45435,                0.31854,                0.82251,              0.0007724,              0.0007724,              0.0007724
                     34,                0.46195,                0.33899,                0.88205,                      1,                0.99828,                  0.995,                0.91989,                0.41915,                0.27403,                0.81274,              0.0007328,              0.0007328,              0.0007328
                     35,                0.41879,                0.32754,                0.86526,                0.97999,                      1,                0.99414,                0.91795,                0.42792,                0.27078,                0.81963,              0.0006932,              0.0006932,              0.0006932
                     36,                0.42013,                0.31147,                0.85918,                0.99276,                      1,                  0.995,                 0.9274,                0.41533,                0.28036,                0.81205,              0.0006536,              0.0006536,              0.0006536
                     37,                0.39281,                0.30492,                0.85028,                0.99827,                      1,                  0.995,                0.92634,                0.39972,                0.26402,                0.80247,               0.000614,               0.000614,               0.000614
                     38,                 0.3926,                0.29993,                0.85906,                0.99775,                      1,                  0.995,                0.94308,                0.35995,                0.24947,                0.80186,              0.0005744,              0.0005744,              0.0005744
                     39,                0.38172,                0.29789,                0.85693,                0.99652,                      1,                  0.995,                 0.9371,                 0.3759,                0.26139,                0.79929,              0.0005348,              0.0005348,              0.0005348
                     40,                0.37271,                0.29387,                 0.8523,                0.99588,                      1,                  0.995,                0.93845,                  0.399,                 0.2625,                0.80535,              0.0004952,              0.0004952,              0.0004952
                     41,                0.36842,                0.28924,                0.83434,                0.99781,                      1,                  0.995,                0.94241,                0.36946,                0.26123,                0.80424,              0.0004556,              0.0004556,              0.0004556
                     42,                0.33987,                0.26323,                0.82676,                0.99908,                      1,                  0.995,                0.94109,                0.35458,                0.24282,                0.80361,               0.000416,               0.000416,               0.000416
                     43,                0.32921,                0.26162,                0.82532,                0.99654,                      1,                  0.995,                0.94189,                0.35685,                0.26316,                0.79802,              0.0003764,              0.0003764,              0.0003764
                     44,                0.34478,                0.27252,                0.84012,                0.99724,                      1,                  0.995,                0.95136,                0.34144,                0.24862,                0.79576,              0.0003368,              0.0003368,              0.0003368
                     45,                0.32754,                0.25536,                0.83774,                0.99695,                      1,                  0.995,                 0.9637,                0.30909,                0.23586,                0.78891,              0.0002972,              0.0002972,              0.0002972
                     46,                0.32119,                0.24865,                0.82852,                0.99626,                      1,                  0.995,                 0.9591,                0.32451,                0.23016,                0.79113,              0.0002576,              0.0002576,              0.0002576
                     47,                0.29729,                0.23684,                0.81548,                0.99564,                      1,                  0.995,                0.96499,                0.30722,                0.23519,                0.78177,               0.000218,               0.000218,               0.000218
                     48,                0.29747,                0.23077,                0.80929,                0.99513,                      1,                  0.995,                0.96103,                0.30457,                0.22379,                0.78436,              0.0001784,              0.0001784,              0.0001784
                     49,                0.30638,                0.23222,                 0.8173,                  0.994,                      1,                  0.995,                0.95778,                0.30615,                0.23337,                0.78455,              0.0001388,              0.0001388,              0.0001388
                     50,                0.29234,                0.22946,                0.82082,                0.99453,                      1,                  0.995,                0.96389,                0.29599,                0.22173,                0.78376,               9.92e-05,               9.92e-05,               9.92e-05
